Kod;Kapanış (TL);Günlük Getiri (%);Haftalık Getiri (%);Aylık Getiri (%);Yıl İçi Getiri (%)
NTHOL;48,2;4,1;2,38;3,21;-0,54
NUGYO;10,72;1,9;2,1;-6,38;-3,42
NUHCM;245,5;2,38;3,81;9,79;10,14
OBAMS;7,83;-2,61;-8,95;-9,48;-1,63
OBASE;39,94;2,99;0,76;11,75;28,59
ODAS;5,9;3,15;3,87;15,01;16,37
ODINE;350,5;-0,78;0,57;9,19;15,11
OFSYM;74,45;6,05;3,4;0,54;7,74
ONCSM;295;1,46;-2,64;10,07;12,17
ONRYT;68,75;1,18;-0,29;-4,11;8,27
ORCAY;3,84;1,32;1,59;0;6,67
ORGE;72,1;3,3;2,34;7,45;4,95
ORMA;167,5;4,56;4,75;0,36;-0,83
OSMEN;8,37;2,32;1,58;4,63;7,03
OSTIM;3,11;0,97;-1,27;0,97;4,71
OTKAR;462,25;5,42;7,56;-9,45;-4,89
OTTO;330;0,61;-3,15;-37,14;-29,79
OYAKC;26,46;2,88;-0,53;7,3;14,84
OYAYO;52,5;-0,38;-1,87;2,94;-3,58
OYLUM;8,43;0,72;0,48;-3,99;-9,55
OYYAT;52,8;6,28;8,69;34,01;30,37
OZATD;168;9,3;7,55;5;5,4
OZGYO;2,17;5,34;3,33;4,83;5,34
OZKGY;15,24;3,53;-0,33;2,63;7,17
OZRDN;20,18;2,54;11,92;66,09;47,08
OZSUB;20,7;1,67;5,08;20,28;15,58
OZYSR;49,98;-0,44;8,46;24,2;20,96
PAGYO;93,65;4,52;4,11;8,33;13,72
PAHOL;1,69;1,2;-4,52;8,33;9,03
PAMEL;91,4;3,8;1,44;10,52;11,4
PAPIL;18,42;2,45;-3,91;6,91;14,91
PARSN;103,5;2,17;4,86;3,5;-0,48
PASEU;158,9;2,58;9,59;2,85;17,27
PATEK;20,46;4,82;5,57;-7,5;-7,08
PCILT;23,5;3,07;0,6;6,05;6,14
PEKGY;10,1;0,8;0,3;-11,01;-19,84
PENGD;9,08;3,77;2,71;12,66;19,63
PENTA;14,37;2,72;0;6,84;9,78
PETKM;18,73;5,76;5,11;10,37;15,4
PETUN;13,08;1,4;-1,73;12,76;16,79
PGSUS;209,2;1,06;3,21;2,35;9,13
PINSU;11,47;0,7;-2,38;1,06;2,69
PKART;72,7;2,61;3,56;1,25;-0,89
PKENT;151,5;3,41;3,7;2,5;-20,26
PLTUR;22,16;2,5;4,33;4,92;-2,29
PNLSN;43,64;4,15;6,18;16,56;17,63
PNSUT;12,86;-0,23;-9,75;14,82;16,27
POLHO;17,19;1,06;-5,34;6,57;6,7
